metabolite,sample_id,flux,description
pheme_m,s20011_0028,0.0007581277059287572,Protoheme
sheme_m,s20011_0028,0.0007581277059429681,Siroheme
fe2_m,s20011_0028,0.00021895059656266616,Fe2+
fe3_m,s20011_0028,0.0016781820909503864,Fe3+
fol_m,s20011_0028,0.002274383117785427,Folate
pnto_R_m,s20011_0028,0.001897132687425085,(R)-Pantothenate
pydam_m,s20011_0028,0.0007296157471884243,Pyridoxamine
k_m,s20011_0028,0.0009485663437670449,potassium
cl_m,s20011_0028,0.0009485663437647672,Chloride
mn2_m,s20011_0028,0.0009485663437587277,Mn2+
ca2_m,s20011_0028,0.0009485663437401139,calcium(2+)
cobalt2_m,s20011_0028,0.0009485663437636069,Co2+
zn2_m,s20011_0028,0.0009485663437480696,Zinc
cu2_m,s20011_0028,0.0009485663437503631,Cu2+
mg2_m,s20011_0028,0.0009485663437503631,magnesium
met_L_m,s20011_0028,1e-06,L-methionine
pro_L_m,s20011_0028,1e-06,L-proline
glu_L_m,s20011_0028,1e-06,L-glutamate(1-)
val_L_m,s20011_0028,1e-06,L-valine
leu_L_m,s20011_0028,1e-06,L-leucine
ile_L_m,s20011_0028,1e-06,L-isoleucine
trp_L_m,s20011_0028,0.008182,L-tryptophan
adn_m,s20011_0028,0.1,Adenosine
dad_2_m,s20011_0028,1e-06,2-deoxyadenosine
nmn_m,s20011_0028,0.1,NMN
gam_m,s20011_0028,0.1,D-Glucosamine
26dap_M_m,s20011_0028,0.07568061235281233,"meso-2,6-Diaminoheptanedioate"
acnam_m,s20011_0028,0.1,N-acetylneuraminate
orn_m,s20011_0028,0.1,Ornithine
amp_m,s20011_0028,0.1,AMP
cgly_m,s20011_0028,0.1,L-cysteinylglycine
acgam_m,s20011_0028,1e-06,N-acetyl-D-glucosamine
acmana_m,s20011_0028,1e-06,N-acetyl-D-mannosamine
dcyt_m,s20011_0028,1e-06,Deoxycytidine
metsox_S_L_m,s20011_0028,0.1,L-Methionine Sulfoxide
cytd_m,s20011_0028,0.1,Cytidine
glyc3p_m,s20011_0028,0.005249387541825357,Glycerol 3-phosphate
tyr_L_m,s20011_0028,0.1,L-tyrosine
ser_L_m,s20011_0042,1e-06,L-serine
csn_m,s20011_0042,1e-06,cytosine
dgsn_m,s20011_0042,0.006878374424029943,Deoxyguanosine
phe_L_m,s20011_0042,0.0382460067757157,L-phenylalanine
pi_m,s20011_0042,0.0767655343759418,hydrogenphosphate
strch1_m,s20011_0042,0.08777029178425622,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})"
gua_m,s20011_0042,1e-06,Guanine
ala_L_m,s20011_0042,0.1,L-alanine
cys_L_m,s20011_0042,1e-06,L-cysteine
no2_m,s20011_0042,1e-06,Nitrite
ade_m,s20011_0042,1e-06,Adenine
ncam_m,s20011_0042,1e-06,Nicotinamide
asn_L_m,s20011_0042,0.0225,L-asparagine
gln_L_m,s20011_0042,0.018,L-glutamine
arg_L_m,s20011_0042,0.015,L-argininium(1+)
his_L_m,s20011_0042,0.015,L-histidine
gsn_m,s20011_0042,1e-06,Guanosine
ala_D_m,s20011_0042,0.0796353427051475,D-alanine
lys_L_m,s20011_0042,1e-06,L-lysinium(1+)
asp_L_m,s20011_0042,0.0225,L-aspartate(1-)
thr_L_m,s20011_0042,0.0225,L-threonine
gly_m,s20011_0042,1e-06,Glycine
indole_m,s20011_0042,0.00350161221124878,Indole
pydxn_m,s20011_0042,1e-06,Pyridoxine
hxan_m,s20011_0042,1e-06,Hypoxanthine
so4_m,s20011_0042,1e-06,sulfate
ocdcea_m,s20011_0042,0.00040942829616622515,octadecenoate (n-C18:1)
mqn7_m,s20011_0042,1e-06,Menaquinone 7
mqn8_m,s20011_0042,1e-06,Menaquinone 8
gthox_m,s20011_0042,5.0159122420012636e-05,Oxidized glutathione
12dgr180_m,s20011_0042,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
lichn_m,s20011_0042,8.3e-05,"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951"
amylose300_m,s20011_0042,4.7e-05,"amylose (n=300 repeat units, alpha-1,4-glc)"
glcmannan_m,s20011_0042,3.2899999999999987e-05,"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D"
pect_m,s20011_0042,3.34e-05,pectins
xylan_m,s20011_0042,3.21e-05,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D"
2dmmq8_m,s20011_0042,1e-06,2-Demethylmenaquinone 8
arabinogal_m,s20011_0042,2.19e-05,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000"
amylopect900_m,s20011_0042,1.57e-05,"Amylopectin, 900 repeat units"
levan1000_m,s20011_0042,1.41e-05,"Levan, 1000 fructose units"
rhamnogalurI_m,s20011_0042,1.4499999999999997e-05,"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)"
pullulan1200_m,s20011_0042,1.18e-05,"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)"
galmannan_m,s20011_0042,1.41e-05,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,s20011_0042,1.31e-05,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
4abz_m,s20011_0042,1e-06,4-Aminobenzoate
gthrd_m,s20011_0042,1e-06,Reduced glutathione
cellul_m,s20011_0042,1e-06,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587"
starch1200_m,s20011_0042,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
rhamnogalurII_m,s20011_0042,0.000266987,"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>"
homogal_m,s20011_0042,0.000128235,"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>"
arabinan101_m,s20011_0042,0.000166277,"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>"
dextran40_m,s20011_0042,0.000176323,"Dextran 40, 1,6-alpha-D-Glucan"
inulin_m,s20011_0042,0.000470195,"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average"
arabinoxyl_m,s20011_0042,0.000306649,"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D"
lmn30_m,s20011_0042,0.000470195,"laminarin (n=30 repeat units, beta -1,3 glc)"
q8_m,s20011_0042,0.000638792787366782,Ubiquinone-8
pydx_m,s20011_0042,1.2114248235661762e-05,Pyridoxal
ptrc_m,s20011_0042,9.169421715721554e-06,Putrescine
spmd_m,s20011_0042,0.0007482804539300503,Spermidine
thm_m,s20011_0042,0.0007482804539177188,Thiamin
pheme_m,s20011_0042,0.0007482804539281041,Protoheme
sheme_m,s20011_0042,0.00010948766656682096,Siroheme
fe2_m,s20011_0042,0.0006599445403407955,Fe2+
fe3_m,s20011_0042,0.0009265687342931983,Fe3+
fol_m,s20011_0042,0.0003284629996631594,Folate
pnto_R_m,s20011_0042,0.00020678997672973765,(R)-Pantothenate
pydam_m,s20011_0042,0.00013331209698469232,Pyridoxamine
k_m,s20011_0042,0.0007932566373121774,potassium
cl_m,s20011_0042,0.0007932566373240216,Chloride
mn2_m,s20011_0042,0.0007932566373140701,Mn2+
ca2_m,s20011_0042,0.0007932566373199104,calcium(2+)
cobalt2_m,s20011_0042,0.0007932566373290742,Co2+
zn2_m,s20011_0042,0.0007932566373156646,Zinc
cu2_m,s20011_0042,0.0007932566373147401,Cu2+
mg2_m,s20011_0042,0.0007932566373147403,magnesium
met_L_m,s20011_0042,0.018,L-methionine
pro_L_m,s20011_0042,0.018,L-proline
glu_L_m,s20011_0042,0.018,L-glutamate(1-)
val_L_m,s20011_0042,0.018,L-valine
leu_L_m,s20011_0042,0.015,L-leucine
ile_L_m,s20011_0042,0.010046486367821772,L-isoleucine
trp_L_m,s20011_0042,0.008182,L-tryptophan
adn_m,s20011_0042,1e-06,Adenosine
dad_2_m,s20011_0042,0.004958860364475015,2-deoxyadenosine
nmn_m,s20011_0042,0.1,NMN
gam_m,s20011_0042,0.1,D-Glucosamine
26dap_M_m,s20011_0042,0.07702539420753926,"meso-2,6-Diaminoheptanedioate"
acnam_m,s20011_0042,0.1,N-acetylneuraminate
orn_m,s20011_0042,0.1,Ornithine
amp_m,s20011_0042,0.1,AMP
cgly_m,s20011_0042,0.1,L-cysteinylglycine
acgam_m,s20011_0042,0.1,N-acetyl-D-glucosamine
acmana_m,s20011_0042,0.1,N-acetyl-D-mannosamine
dcyt_m,s20011_0042,0.1,Deoxycytidine
metsox_S_L_m,s20011_0042,0.1,L-Methionine Sulfoxide
cytd_m,s20011_0042,0.1,Cytidine
glyc3p_m,s20011_0042,0.1,Glycerol 3-phosphate
tyr_L_m,s20011_0042,0.1,L-tyrosine
ser_L_m,s20011_0015,0.1,L-serine
csn_m,s20011_0015,1e-06,cytosine
dgsn_m,s20011_0015,0.02015381421056972,Deoxyguanosine
phe_L_m,s20011_0015,0.039423552691005365,L-phenylalanine
pi_m,s20011_0015,0.04323929835419804,hydrogenphosphate
strch1_m,s20011_0015,0.05341587416748084,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})"
gua_m,s20011_0015,1e-06,Guanine
ala_L_m,s20011_0015,1e-06,L-alanine
cys_L_m,s20011_0015,1e-06,L-cysteine
no2_m,s20011_0015,1e-06,Nitrite
ade_m,s20011_0015,1e-06,Adenine
ncam_m,s20011_0015,1e-06,Nicotinamide
asn_L_m,s20011_0015,0.0225,L-asparagine
gln_L_m,s20011_0015,0.018,L-glutamine
arg_L_m,s20011_0015,0.015,L-argininium(1+)
his_L_m,s20011_0015,0.015,L-histidine
gsn_m,s20011_0015,1e-06,Guanosine
ala_D_m,s20011_0015,1e-06,D-alanine
lys_L_m,s20011_0015,1e-06,L-lysinium(1+)
asp_L_m,s20011_0015,0.0225,L-aspartate(1-)
thr_L_m,s20011_0015,0.0225,L-threonine
gly_m,s20011_0015,1e-06,Glycine
indole_m,s20011_0015,0.0038633729536669613,Indole
pydxn_m,s20011_0015,1e-06,Pyridoxine
hxan_m,s20011_0015,1e-06,Hypoxanthine
so4_m,s20011_0015,1e-06,sulfate
ocdcea_m,s20011_0015,1e-06,octadecenoate (n-C18:1)
mqn7_m,s20011_0015,1e-06,Menaquinone 7
mqn8_m,s20011_0015,1e-06,Menaquinone 8
gthox_m,s20011_0015,4.848921490108182e-05,Oxidized glutathione
12dgr180_m,s20011_0015,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
lichn_m,s20011_0015,8.3e-05,"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951"
amylose300_m,s20011_0015,4.7e-05,"amylose (n=300 repeat units, alpha-1,4-glc)"
glcmannan_m,s20011_0015,3.2899999999999987e-05,"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D"
pect_m,s20011_0015,3.34e-05,pectins
xylan_m,s20011_0015,3.21e-05,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D"
2dmmq8_m,s20011_0015,1e-06,2-Demethylmenaquinone 8
arabinogal_m,s20011_0015,2.19e-05,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000"
amylopect900_m,s20011_0015,1.57e-05,"Amylopectin, 900 repeat units"
levan1000_m,s20011_0015,1.41e-05,"Levan, 1000 fructose units"
rhamnogalurI_m,s20011_0015,1.4499999999999997e-05,"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)"
pullulan1200_m,s20011_0015,1.18e-05,"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)"
galmannan_m,s20011_0015,1.41e-05,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,s20011_0015,1.31e-05,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
4abz_m,s20011_0015,1e-06,4-Aminobenzoate
gthrd_m,s20011_0015,1e-06,Reduced glutathione
cellul_m,s20011_0015,1e-06,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587"
starch1200_m,s20011_0015,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
rhamnogalurII_m,s20011_0015,0.000266987,"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>"
homogal_m,s20011_0015,0.000128235,"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>"
arabinan101_m,s20011_0015,0.000166277,"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>"
dextran40_m,s20011_0015,0.000176323,"Dextran 40, 1,6-alpha-D-Glucan"
inulin_m,s20011_0015,0.000470195,"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average"
arabinoxyl_m,s20011_0015,0.000306649,"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D"
lmn30_m,s20011_0015,0.000470195,"laminarin (n=30 repeat units, beta -1,3 glc)"
q8_m,s20011_0015,0.0004569721678180372,Ubiquinone-8
pydx_m,s20011_0015,5.4415479684877255e-05,Pyridoxal
ptrc_m,s20011_0015,8.021034066547202e-05,Putrescine
spmd_m,s20011_0015,0.0006341609382829461,Spermidine
thm_m,s20011_0015,0.0006341609383042623,Thiamin
pheme_m,s20011_0015,0.0006133907896632707,Protoheme
sheme_m,s20011_0015,0.00015641862184847882,Siroheme
fe2_m,s20011_0015,0.0007053445071267817,Fe2+
fe3_m,s20011_0015,0.0013047633310571427,Fe3+
fol_m,s20011_0015,0.0005315663114255244,Folate
pnto_R_m,s20011_0015,0.0003027878189909572,(R)-Pantothenate
pydam_m,s20011_0015,0.0004936662715793474,Pyridoxamine
k_m,s20011_0015,0.0010050539190903643,potassium
cl_m,s20011_0015,0.00100505391910045,Chloride
mn2_m,s20011_0015,0.0010050539190968877,Mn2+
ca2_m,s20011_0015,0.0010050539190942231,calcium(2+)
cobalt2_m,s20011_0015,0.001005053919102999,Co2+
zn2_m,s20011_0015,0.0010050539190967064,Zinc
cu2_m,s20011_0015,0.0010050539190967064,Cu2+
mg2_m,s20011_0015,0.0010050539190967064,magnesium
met_L_m,s20011_0015,0.018,L-methionine
pro_L_m,s20011_0015,0.018,L-proline
glu_L_m,s20011_0015,0.018,L-glutamate(1-)
val_L_m,s20011_0015,0.018,L-valine
leu_L_m,s20011_0015,0.015,L-leucine
ile_L_m,s20011_0015,0.012331947492440194,L-isoleucine
trp_L_m,s20011_0015,0.008182,L-tryptophan
adn_m,s20011_0015,1e-06,Adenosine
dad_2_m,s20011_0015,0.015616297847261151,2-deoxyadenosine
nmn_m,s20011_0015,0.1,NMN
gam_m,s20011_0015,0.1,D-Glucosamine
26dap_M_m,s20011_0015,0.08081166455111624,"meso-2,6-Diaminoheptanedioate"
acnam_m,s20011_0015,0.1,N-acetylneuraminate
orn_m,s20011_0015,0.1,Ornithine
amp_m,s20011_0015,0.1,AMP
cgly_m,s20011_0015,0.1,L-cysteinylglycine
acgam_m,s20011_0015,0.1,N-acetyl-D-glucosamine
acmana_m,s20011_0015,0.1,N-acetyl-D-mannosamine
dcyt_m,s20011_0015,0.1,Deoxycytidine
metsox_S_L_m,s20011_0015,0.1,L-Methionine Sulfoxide
cytd_m,s20011_0015,0.1,Cytidine
glyc3p_m,s20011_0015,0.1,Glycerol 3-phosphate
tyr_L_m,s20011_0015,0.07834803141896379,L-tyrosine
ser_L_m,s20011_0018,0.1,L-serine
csn_m,s20011_0018,1e-06,cytosine
dgsn_m,s20011_0018,0.017836370521209233,Deoxyguanosine
phe_L_m,s20011_0018,0.03696760165768656,L-phenylalanine
pi_m,s20011_0018,0.049476200224667366,hydrogenphosphate
strch1_m,s20011_0018,0.0598155145001682,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})"
gua_m,s20011_0018,1e-06,Guanine
ala_L_m,s20011_0018,1e-06,L-alanine
cys_L_m,s20011_0018,1e-06,L-cysteine
no2_m,s20011_0018,1e-06,Nitrite
ade_m,s20011_0018,1e-06,Adenine
ncam_m,s20011_0018,1e-06,Nicotinamide
asn_L_m,s20011_0018,0.0225,L-asparagine
gln_L_m,s20011_0018,0.018,L-glutamine
arg_L_m,s20011_0018,0.015,L-argininium(1+)
his_L_m,s20011_0018,0.015,L-histidine
gsn_m,s20011_0018,1e-06,Guanosine
ala_D_m,s20011_0018,1e-06,D-alanine
lys_L_m,s20011_0018,1e-06,L-lysinium(1+)
asp_L_m,s20011_0018,0.0225,L-aspartate(1-)
thr_L_m,s20011_0018,0.0225,L-threonine
gly_m,s20011_0018,1e-06,Glycine
indole_m,s20011_0018,0.0036979075090773036,Indole
pydxn_m,s20011_0018,1e-06,Pyridoxine
hxan_m,s20011_0018,1e-06,Hypoxanthine
so4_m,s20011_0018,1e-06,sulfate
ocdcea_m,s20011_0018,1e-06,octadecenoate (n-C18:1)
mqn7_m,s20011_0018,1e-06,Menaquinone 7
mqn8_m,s20011_0018,1e-06,Menaquinone 8
gthox_m,s20011_0018,4.491576333354175e-05,Oxidized glutathione
12dgr180_m,s20011_0018,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
lichn_m,s20011_0018,8.3e-05,"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951"
amylose300_m,s20011_0018,4.7e-05,"amylose (n=300 repeat units, alpha-1,4-glc)"
glcmannan_m,s20011_0018,3.2899999999999987e-05,"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D"
pect_m,s20011_0018,3.34e-05,pectins
xylan_m,s20011_0018,3.21e-05,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D"
2dmmq8_m,s20011_0018,1e-06,2-Demethylmenaquinone 8
arabinogal_m,s20011_0018,2.19e-05,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000"
amylopect900_m,s20011_0018,1.57e-05,"Amylopectin, 900 repeat units"
levan1000_m,s20011_0018,1.41e-05,"Levan, 1000 fructose units"
rhamnogalurI_m,s20011_0018,1.4499999999999997e-05,"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)"
pullulan1200_m,s20011_0018,1.18e-05,"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)"
galmannan_m,s20011_0018,1.41e-05,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,s20011_0018,1.31e-05,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
4abz_m,s20011_0018,1e-06,4-Aminobenzoate
gthrd_m,s20011_0018,1e-06,Reduced glutathione
cellul_m,s20011_0018,1e-06,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587"
starch1200_m,s20011_0018,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
rhamnogalurII_m,s20011_0018,0.000266987,"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>"
homogal_m,s20011_0018,0.000128235,"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>"
arabinan101_m,s20011_0018,0.000166277,"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>"
dextran40_m,s20011_0018,0.000176323,"Dextran 40, 1,6-alpha-D-Glucan"
inulin_m,s20011_0018,0.000470195,"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average"
arabinoxyl_m,s20011_0018,0.000306649,"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D"
lmn30_m,s20011_0018,0.000470195,"laminarin (n=30 repeat units, beta -1,3 glc)"
q8_m,s20011_0018,0.0004911156188081023,Ubiquinone-8
pydx_m,s20011_0018,3.8562290956889456e-05,Pyridoxal
ptrc_m,s20011_0018,6.348872216278034e-05,Putrescine
spmd_m,s20011_0018,0.0006444358676631623,Spermidine
thm_m,s20011_0018,0.0006444358676708289,Thiamin
pheme_m,s20011_0018,0.0006374636278181356,Protoheme
sheme_m,s20011_0018,0.00014634800897805889,Siroheme
fe2_m,s20011_0018,0.000529677909796078,Fe2+
fe3_m,s20011_0018,0.001408935475105011,Fe3+
fol_m,s20011_0018,0.0004599607465145539,Folate
pnto_R_m,s20011_0018,0.00025678763523817594,(R)-Pantothenate
pydam_m,s20011_0018,0.0004396287826544665,Pyridoxamine
k_m,s20011_0018,0.0009693066924524786,potassium
cl_m,s20011_0018,0.0009693066924302328,Chloride
mn2_m,s20011_0018,0.0009693066924510447,Mn2+
ca2_m,s20011_0018,0.0009693066924548563,calcium(2+)
cobalt2_m,s20011_0018,0.0009693066924520912,Co2+
zn2_m,s20011_0018,0.0009693066924488349,Zinc
cu2_m,s20011_0018,0.0009693066924524171,Cu2+
mg2_m,s20011_0018,0.0009693066924524171,magnesium
met_L_m,s20011_0018,0.018,L-methionine
pro_L_m,s20011_0018,0.018,L-proline
glu_L_m,s20011_0018,0.018,L-glutamate(1-)
val_L_m,s20011_0018,0.018,L-valine
leu_L_m,s20011_0018,0.015,L-leucine
ile_L_m,s20011_0018,0.010870610347523171,L-isoleucine
