microbe,clinical_var,cor,p_value,p_adj,signif
g__Streptococcus,Long-acting Insulin (BS),-0.033370418315408,0.8218506114157447,0.8798381704352847,
g__Subdoligranulum,Long-acting Insulin (BS),-0.15428633488087176,0.29508301285439886,0.6990797297063173,
g__Fusicatenibacter,Long-acting Insulin (BS),-0.12368868727022762,0.40226956044893813,0.7355786248209154,
g__Akkermansia,Pancreatectomy,0.09883858728953393,0.5039020131510658,0.7363704529961904,
g__CAG-352,Pancreatectomy,-0.12977336775205223,0.37933505042887206,0.7163214273111559,
g__Escherichia-Shigella,Pancreatectomy,0.6333813164268964,1.3547581426788483e-6,8.67045211314463e-5,***
g__Faecalibacterium,Pancreatectomy,-0.15531706685229346,0.2918294643514295,0.6990797297063173,
g__Blautia,Pancreatectomy,-0.08389868265230968,0.570750732181858,0.777192486375296,
g__Streptococcus,Pancreatectomy,0.31656906194082163,0.028367752883818646,0.2593623120806276,*
g__Subdoligranulum,Pancreatectomy,-0.20290425701328357,0.16662116111094483,0.5561177969640592,
g__Fusicatenibacter,Pancreatectomy,-0.05567255616174215,0.707039363205608,0.8379725786140539,
g__Akkermansia,HbA1c (DCCT/NGSP) (BS),0.23985429482910067,0.10058507398596149,0.42916298234010236,
g__CAG-352,HbA1c (DCCT/NGSP) (BS),-0.14433640125033495,0.3276936232998362,0.6990797297063173,
g__Escherichia-Shigella,HbA1c (DCCT/NGSP) (BS),-0.02120511987779732,0.8862453353467353,0.918046689103666,
g__Faecalibacterium,HbA1c (DCCT/NGSP) (BS),-0.009308846175577524,0.9499298602037137,0.9499298602037137,
g__Blautia,HbA1c (DCCT/NGSP) (BS),-0.039356211628605114,0.7905601873360759,0.8723422756811872,
g__Streptococcus,HbA1c (DCCT/NGSP) (BS),0.06444511031501576,0.6634373176266808,0.8379725786140539,
g__Subdoligranulum,HbA1c (DCCT/NGSP) (BS),-0.3861076009818928,0.006717960664531071,0.11140944389454535,**
g__Fusicatenibacter,HbA1c (DCCT/NGSP) (BS),0.09572238036277128,0.517508035755945,0.7363704529961904,
g__Akkermansia,MASLD (BS),-0.09306228255027084,0.5292662630910119,0.7363704529961904,
g__CAG-352,MASLD (BS),-0.1073879979434079,0.4675329351845169,0.7363704529961904,
g__Escherichia-Shigella,MASLD (BS),-0.05741816077728073,0.6982833899999316,0.8379725786140539,
g__Faecalibacterium,MASLD (BS),-0.13003762118137274,0.37835698589547295,0.7163214273111559,
g__Blautia,MASLD (BS),0.057959428775549014,0.6955761876910511,0.8379725786140539,
g__Streptococcus,MASLD (BS),-0.03279987317942869,0.8248482847830794,0.8798381704352847,
g__Subdoligranulum,MASLD (BS),-0.20013949936706338,0.172598451586097,0.5561177969640592,
g__Fusicatenibacter,MASLD (BS),0.19959812242560926,0.1737868115512685,0.5561177969640592,
g__Akkermansia,Age,-0.1009140869261642,0.49494233612297933,0.7363704529961904,
g__CAG-352,Age,-0.04927889979791817,0.7394235373975067,0.8450554713114361,
g__Escherichia-Shigella,Age,0.07814888917237724,0.5975215367173796,0.7966953822898395,
g__Faecalibacterium,Age,-0.05271269975356117,0.7219715051869697,0.8401122969448375,
g__Blautia,Age,0.34778942691293135,0.015427338390927407,0.16455827616989233,*
g__Streptococcus,Age,0.0976289268360059,0.5091618761122549,0.7363704529961904,
g__Subdoligranulum,Age,-0.25915589893360985,0.07529184513406953,0.4015565073817041,
g__Fusicatenibacter,Age,0.1338874932225004,0.3642785780619441,0.7163214273111559,
